No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"types of acne",27100,"$2.76",7,24
2,"types of acne scars",6600,"$0.71",90,34
3,"different types of acne scars",880,"$0.77",74,28
4,"types of acne on face",880,"$1.00",15,10
5,"types of acne with pictures",720,"$2.12",7,8
6,"types of acne pictures",720,"$2.12",7,8
7,"types of acne cysts",170,"$0.82",1,6
8,"types of acne chart",170,"$0",1,5
9,"types of acne papules",170,"$0",4,7
10,"types of acne on skin",140,"$0.97",72,27
11,"types of acne in adults",110,"$1.66",23,13
12,"types of acne medication",110,"$4.95",19,11
13,"types of acne nodules",90,"$0",1,5
14,"types of acne quiz",90,"$1.09",15,10
15,"types of acne scars with pictures",90,"$1.41",74,28
16,"types of acne on black skin",90,"$1.48",91,33
17,"types of acne treatment",70,"$2.38",80,30
18,"what types of acne are there",50,"$0",2,6
19,"types of acne marks",50,"$0",86,31
20,"types of acne bacteria",50,"$2.99",5,7
21,"types of acne vulgaris",40,"$0",1,6
22,"types of acne breakouts",40,"$0.07",13,10
23,"types of acne lesions",40,"$0",6,7
24,"4 types of acne",30,"$1.98",37,17
25,"types of acne and how to treat them",30,"$4.47",19,11
26,"what types of acne does accutane treat",30,"$0.11",2,6
27,"types of acne pimples",30,"$0",1,6
28,"types of acne antibiotics",30,"$3.58",15,10
29,"3 types of acne",30,"$0",1,6
30,"how many types of acne are there",30,"$0",2,6
